sentence_lang,feature_source,n_samples,correlation,p_value,mean_formality
english,universal,201,-0.7150301522568141,9.080997537451114e-33,0.3601990049751244
hebrew,universal,261,-0.7484726875000893,4.163866049664479e-48,0.3689655172413793
russian,universal,261,-0.7400859938842511,1.5797068881269344e-46,0.3873563218390804
german,universal,196,-0.7794753393018378,2.8702765221086973e-41,0.398469387755102
english,heb_rus_excl,240,-0.701298005561056,7.614578483492265e-37,0.32499999999999996
hebrew,eng_rus_excl,288,-0.6747612328304731,1.296092081659298e-39,0.3506944444444444
russian,heb_eng_excl,336,-0.6278268522802,3.1112078360421537e-38,0.30446428571428574
