sentence_language,feature_source,transfer_type,formal_mean,slang_mean,effect_size
english,universal,UNIVERSAL,0.66625,0.11366906474820143,0.5525809352517985
english,heb_rus_excl,CROSS,0.5912499999999999,0.06791044776119402,0.5233395522388059
hebrew,universal,UNIVERSAL,0.6396396396396395,0.08750000000000001,0.5521396396396395
hebrew,eng_rus_excl,CROSS,0.7027027027027027,0.11288659793814432,0.5898161047645585
russian,universal,UNIVERSAL,0.6702702702702703,0.11554404145077721,0.5547262288194931
russian,heb_eng_excl,CROSS,0.7232142857142857,0.11269841269841269,0.6105158730158731
german,universal,UNIVERSAL,0.6863636363636364,0.1111842105263158,0.5751794258373206
