sentence_lang,feature_source,n_samples,correlation,p_value,mean_formality
english,universal,239,-0.7032361016935089,5.648723131815815e-37,0.3263598326359833
hebrew,universal,331,-0.7373725414797727,5.22484351815517e-58,0.3102719033232628
russian,universal,332,-0.7316499215964531,7.221434269605045e-57,0.3322289156626506
german,universal,262,-0.780708314821408,5.133754120138795e-55,0.3416030534351145
english,heb_rus_excl,234,-0.723722440322454,3.04639578910483e-39,0.2811965811965812
hebrew,eng_rus_excl,333,-0.767981076454733,5.094644571894501e-66,0.34354354354354355
russian,heb_eng_excl,329,-0.7695532405597498,1.1566163020652798e-65,0.3617021276595745
